year, month, carrier, carrier_name                           , airport, airport_name                                                            , arr_flights, arr_del15, carrier_ct, weather_ct, nas_ct , security_ct, late_aircraft_ct, arr_cancelled, arr_diverted, arr_delay, carrier_delay, weather_delay, nas_delay, security_delay, late_aircraft_delay
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, AVP    , "Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"        ,        60.0,      14.0,       2.85,       0.0 ,    2.05,        0.0 ,             9.1 ,           1.0,          0.0,     954.0,         135.0,           0.0,     129.0,            0.0,               690.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, BHM    , "Birmingham, AL: Birmingham-Shuttlesworth International"                ,        60.0,      14.0,       2.37,       0.83,    2.7 ,        0.0 ,             8.11,           1.0,          2.0,     922.0,          91.0,         106.0,     138.0,            0.0,               587.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, BTV    , "Burlington, VT: Burlington International"                              ,        83.0,      25.0,       6.26,       0.0 ,    2.32,        0.0 ,            16.41,           1.0,          0.0,    2742.0,         451.0,           0.0,     106.0,            0.0,              2185.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, BUF    , "Buffalo, NY: Buffalo Niagara International"                            ,        85.0,      16.0,       3.05,       0.0 ,    1.28,        0.0 ,            11.66,           0.0,          0.0,    1489.0,         199.0,           0.0,      43.0,            0.0,              1247.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CAE    , "Columbia, SC: Columbia Metropolitan"                                   ,        60.0,      16.0,       4.5 ,       0.0 ,    4.73,        0.0 ,             6.77,           2.0,          0.0,    1892.0,         850.0,           0.0,     255.0,            0.0,               787.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CHA    , "Chattanooga, TN: Lovell Field"                                         ,        30.0,       6.0,       0.4 ,       0.65,    2.78,        0.0 ,             2.17,           0.0,          0.0,     432.0,          18.0,         173.0,      87.0,            0.0,               154.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CID    , "Cedar Rapids/Iowa City, IA: The Eastern Iowa"                          ,        86.0,      16.0,       3.28,       0.0 ,    3.79,        0.0 ,             8.93,           2.0,          0.0,     881.0,         134.0,           0.0,     127.0,            0.0,               620.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CLE    , "Cleveland, OH: Cleveland-Hopkins International"                        ,        21.0,       7.0,       1.61,       0.0 ,    2.01,        0.0 ,             3.38,           0.0,          0.0,     924.0,          58.0,           0.0,     140.0,            0.0,               726.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CLT    , "Charlotte, NC: Charlotte Douglas International"                        ,         4.0,       0.0,       0.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,       0.0,           0.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CMH    , "Columbus, OH: John Glenn Columbus International"                       ,        26.0,       8.0,       3.23,       0.0 ,    1.6 ,        0.0 ,             3.17,           3.0,          0.0,     869.0,         247.0,           0.0,     134.0,            0.0,               488.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, CVG    , "Cincinnati, OH: Cincinnati/Northern Kentucky International"            ,       126.0,      49.0,      12.75,       0.0 ,   20.96,        0.0 ,            15.29,           0.0,          0.0,    3776.0,         730.0,           0.0,     757.0,            0.0,              2289.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, DAY    , "Dayton, OH: James M Cox/Dayton International"                          ,        93.0,      16.0,       5.96,       0.33,    2.35,        0.0 ,             7.35,           2.0,          0.0,    1747.0,        1038.0,          22.0,      79.0,            0.0,               608.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, DCA    , "Washington, DC: Ronald Reagan Washington National"                     ,       178.0,      43.0,       8.28,       0.0 ,   21.11,        0.0 ,            13.61,          11.0,          0.0,    4439.0,        2172.0,           0.0,     775.0,            0.0,              1492.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, DSM    , "Des Moines, IA: Des Moines International"                              ,         1.0,       0.0,       0.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,       0.0,           0.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, EWR    , "Newark, NJ: Newark Liberty International"                              ,       565.0,     167.0,      13.92,       3.51,  101.56,        0.0 ,            48.01,          31.0,          6.0,   22190.0,        1080.0,         653.0,   13872.0,            0.0,              6585.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, FSD    , "Sioux Falls, SD: Joe Foss Field"                                       ,        30.0,       7.0,       4.95,       0.0 ,    0.05,        0.0 ,             2.0 ,           1.0,          0.0,     663.0,         468.0,           0.0,       8.0,            0.0,               187.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, GRB    , "Green Bay, WI: Green Bay Austin Straubel International"                ,        60.0,      11.0,       1.28,       0.0 ,    1.15,        0.0 ,             8.57,           0.0,          0.0,    2965.0,         296.0,           0.0,      46.0,            0.0,              2623.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, GRR    , "Grand Rapids, MI: Gerald R. Ford International"                        ,        20.0,       3.0,       1.0 ,       1.04,    0.0 ,        0.0 ,             0.96,           0.0,          0.0,     235.0,         106.0,          65.0,       0.0,            0.0,                64.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, GSO    , "Greensboro/High Point, NC: Piedmont Triad International"               ,        88.0,      20.0,       3.92,       0.0 ,    6.76,        0.0 ,             9.32,           3.0,          0.0,    2634.0,        1231.0,           0.0,     333.0,            0.0,              1070.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, GSP    , "Greer, SC: Greenville-Spartanburg International"                       ,        56.0,      12.0,       2.73,       0.0 ,    1.36,        0.0 ,             7.9 ,           0.0,          0.0,     987.0,         141.0,           0.0,     100.0,            0.0,               746.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, IAD    , "Washington, DC: Washington Dulles International"                       ,       565.0,     118.0,      25.18,       3.55,   26.54,        0.0 ,            62.73,           2.0,          0.0,   14944.0,        2873.0,         234.0,    1455.0,            0.0,             10382.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, ICT    , "Wichita, KS: Wichita Dwight D Eisenhower National"                     ,        30.0,       5.0,       0.75,       0.0 ,    0.0 ,        0.0 ,             4.25,           1.0,          0.0,     395.0,          49.0,           0.0,       0.0,            0.0,               346.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, LEX    , "Lexington, KY: Blue Grass"                                             ,        74.0,      12.0,       3.26,       0.62,    1.26,        0.0 ,             6.87,           1.0,          0.0,    3008.0,         272.0,         607.0,      45.0,            0.0,              2084.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, LIT    , "Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"             ,        60.0,      18.0,       4.1 ,       0.57,    6.98,        0.0 ,             6.36,           1.0,          0.0,    1553.0,         305.0,          79.0,     432.0,            0.0,               737.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, MEM    , "Memphis, TN: Memphis International"                                    ,        56.0,      13.0,       2.8 ,       0.0 ,    1.8 ,        0.0 ,             8.4 ,           4.0,          1.0,    1041.0,         133.0,           0.0,     111.0,            0.0,               797.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, MLI    , "Moline, IL: Quad Cities International"                                 ,        30.0,       4.0,       1.01,       0.0 ,    1.0 ,        0.0 ,             1.99,           1.0,          0.0,     214.0,          44.0,           0.0,      31.0,            0.0,               139.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, MSN    , "Madison, WI: Dane County Regional-Truax Field"                         ,        59.0,      19.0,       4.07,       0.0 ,    3.22,        0.0 ,            11.71,           0.0,          0.0,    1872.0,         181.0,           0.0,     115.0,            0.0,              1576.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, OMA    , "Omaha, NE: Eppley Airfield"                                            ,         1.0,       0.0,       0.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,       0.0,           0.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, ORD    , "Chicago, IL: Chicago O'Hare International"                             ,      1657.0,     332.0,      76.43,      13.48,   95.11,        0.0 ,           146.99,          28.0,         10.0,   37943.0,        7955.0,        3659.0,    9174.0,            0.0,             17155.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, ORF    , "Norfolk, VA: Norfolk International"                                    ,        15.0,       6.0,       0.82,       0.0 ,    5.07,        0.0 ,             0.11,           1.0,          0.0,     318.0,          48.0,           0.0,     262.0,            0.0,                 8.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, PHL    , "Philadelphia, PA: Philadelphia International"                          ,        86.0,      26.0,       5.58,       0.0 ,    8.23,        0.0 ,            12.19,           0.0,          0.0,    3021.0,         463.0,           0.0,     336.0,            0.0,              2222.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, PVD    , "Providence, RI: Rhode Island Tf Green International"                   ,        30.0,       7.0,       1.1 ,       0.0 ,    1.09,        0.0 ,             4.8 ,           0.0,          0.0,    1113.0,          42.0,           0.0,      20.0,            0.0,              1051.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, PWM    , "Portland, ME: Portland International Jetport"                          ,       116.0,      30.0,       9.97,       0.0 ,    8.16,        0.0 ,            11.87,           0.0,          0.0,    3268.0,         510.0,           0.0,     231.0,            0.0,              2527.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, RDU    , "Raleigh/Durham, NC: Raleigh-Durham International"                      ,         6.0,       1.0,       1.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,      63.0,          63.0,           0.0,       0.0,            0.0,                 0.0
